PUBCHEM_OPENEYE_CAN_SMILES	PUBCHEM_COMPOUND_CID	PUBCHEM_IUPAC_INCHIKEY	PUBCHEM_MOLECULAR_FORMULA	PUBCHEM_MOLECULAR_WEIGHT
C=[C]	102177158	SNVLJLYUUXKWOJ-HDZHEIKLSA-N	C2H2	30.035
C=[CH]	102213161	ORGHESHFQPYLAO-MICDWDOJSA-N	C2H3	28.052
C=CC=C[C]=O	102247415	MLHKCIRQNVTUCK-UHFFFAOYSA-N	C5H5O	81.094
C=CC=C	102256521	KAKZBPTYRLMSJV-ZDOIIHCHSA-N	C4H6	56.077
C=CC=C	102256522	KAKZBPTYRLMSJV-CQDYUVAPSA-N	C4H6	56.077
C=CC=C	102256524	KAKZBPTYRLMSJV-WFVSFCRTSA-N	C4H6	55.098
C=[CH]	102301579	ORGHESHFQPYLAO-CBTSVUPCSA-N	C2H3	29.058
[CH2+]C=[C-]	102303480	RCBAPJYSDUAUCF-UHFFFAOYSA-N	C3H3	39.057
C=C=[C+]	102331157	WVVATAOJZAYKTG-UHFFFAOYSA-N	C3H2+	38.049
CC=O	102366639	IKHGUXGNUITLKF-YZRHJBSPSA-N	C2H4O	46.053
CC=C[C]=O	102399566	RDUWVWJVALYSPI-UHFFFAOYSA-N	C4H5O	69.083
C=C=CC=CC=O	102399973	IHJAUAIGTKHMAO-SNAWJCMRSA-N	C6H6O	94.113
[CH-]=C[C+]	102586385	RZQOXIMALLJYPH-UHFFFAOYSA-N	C3H2	38.049
C1=CC=C(C=C1)C=O	117064281	HUMNYLRZRPPJDN-KPGMFROBSA-N	C7H6O	113.153
CC=CC=O	117065508	MLUCVPSAIODCQM-DLUXKFMFSA-N	C4H6O	76.128
C1C[C+]=CC=[C+]1	122224844	FNWYWIPYZMFBDM-UHFFFAOYSA-N	C6H6+2	78.114
[HH].[HH].[HH]	129012201	PKPFMBDWLJKOEO-UHFFFAOYSA-N	H6	6.048
CCC=O	129656075	NBBJYMSMWIIQGU-FIBGUPNXSA-N	C3H6O	61.098
C=CC=C[C+]	132518347	NBTANBZTBIDFDS-PLNGDYQASA-N	C5H5+	65.095
[CH2]C=CC=O	134899596	HAAHANSKHZOLBU-UHFFFAOYSA-N	C4H5O	69.083
C=C=C=C=[C]C[CH2+]	135993263	NARNLUOBMPLRME-UHFFFAOYSA-N	C7H6+	90.125
C[CH+]	136176163	DSRKYAKGZZYCRV-UHFFFAOYSA-N	C2H4+	28.054
